case_id,client_ref,district,intake_date,closure_date,status,category,priority,caseworker_id,contact_count
CC-2023-14052,Joseph Vance,Ash Hill,2023-02-22,2023-03-14,Closed,Standard,,W153,2
CC-2023-17542,Ashley Thorne,Weybridge,2023-04-10,2023-05-09,Closed,Standard,,W178,2
CC-2024-18652,Brian Iverson,Weybridge,05/31/2024,07/23/2024,Closed,app,Medium,W231,5
CC-2023-13494,Linda Hollis,Calder Central,12/25/2023,02/11/2024,Closed,Standard,,W104,2
CC-2024-20937,Maria Ellery,Northgate,"December 7, 2024","January 15, 2025",Closed,normal,Low,W142,1
CC-2024-19618,Jennifer Bennett,Calder Central,2024-07-13,2024-07-24,Closed,standard - no issues,Low,W254,1
CC-2023-15399,William Eastwood,Weybridge,12/01/2023,12/26/2023,Closed,Standard,,W156,4
CC-2024-11166,Sandra Ashford,Calder Central,2024-11-27,2024-07-01,Closed,Standard,Low,W259,8
CC-2023-22464,Ronald Pemberton,Calder Central,"March 25, 2023","April 28, 2023",Closed,Expedited,,W207,0
CC-2024-12914,George Lindquist,Northgate,03/21/2024,04/26/2024,Closed,Standard,Medium,W208,6
CC-2024-16133,Donna Iverson,Calder Central,2024-09-01,2024-09-27,Closed,Appeal,Low,W214,5
CC-2024-21287,George Pemberton,Northgate,"January 30, 2024","February 12, 2024",Closed,Standard,,W218,0
CC-2023-16731,Amanda Fowler,Northgate,"June 12, 2023","July 16, 2023",Closed,standard,,W209,5
CC-2023-19748,Edward Lindquist,Weybridge,10/05/2023,11/05/2023,Closed,standard - no issues,,W206,7
CC-2023-16660,Richard Rasmussen,Ash Hill,02/15/2023,03/20/2023,Closed,Standard,,W222,5
CC-2025-18280,Jessica Pemberton,Weybridge,"July 23, 2025","July 1, 2024",Closed,Complex,Low,W215,6
CC-2025-11450,Jason Alvarez,Calder Central,02/15/2025,03/24/2025,Closed,Standard,Low,W253,5
CC-2024-21418,Sandra Fowler,Calder Central,2024-02-02,2024-04-19,Closed,Appeal,,W189,5
CC-2023-10299,Edward Hollis,Ash Hill,2023-08-22,2023-09-09,Closed,Standard,,W203,6
CC-2025-17600,Edward Marsh,Calder Central,"October 1, 2025",,Open,Complex,Low,W136,10
CC-2023-20767,Kevin Kessler,Calder Central,2023-03-07,2023-04-15,Closed,appeals,,W247,1
CC-2025-21700,Jeffrey Fowler,Calder Central,2025-07-22,2025-08-09,Closed,Standard,Low,W155,12
CC-2024-15721,Elizabeth Jarrett,Calder Central,10/02/2024,11/11/2024,Closed,Complex,High,W176,5
CC-2023-19381,David Quill,Calder Central,2023-11-01,2023-12-05,Closed,Standard,,W175,1
CC-2024-18172,Kevin Danvers,Calder Central,2024-03-18,2023-09-05,Closed,Appeal,Low,W170,2
CC-2023-11121,Jason Blackwood,Northgate,02/21/2023,05/25/2023,Closed,Appeal,,W184,6
CC-2023-18955,Stephanie Underhill,Ash Hill,2023-02-28,2023-03-13,Closed,Standard,,W122,3
CC-2024-23406,Kenneth Rasmussen,Northgate,2024-01-11,2024-01-18,Closed,rush,,W175,4
CC-2024-15177,Stephanie Vance,Northgate,02/18/2024,06/25/2024,Closed,cmplx,,W196,3
CC-2023-10757,Nancy Lindquist,Calder Central,2023-01-16,2023-02-24,Closed,Complex,,W227,0
CC-2023-20708,Margaret Yeardley,Northgate,2023-06-13,2023-10-13,Closed,multi-agency,,W118,1
CC-2025-21099,Joshua Lindquist,Calder Central,01/22/2025,05/29/2025,Closed,APPEAL,Low,W230,5
CC-2023-15639,Kenneth Danvers,Northgate,2023-03-22,2023-05-01,Closed,Standard,,W205,1
CC-2025-20896,Jeffrey Underhill,Northgate,06/10/2025,06/24/2025,Closed,Standard case,Low,W131,4
CC 2023 21388,Ronald Thorne,Northgate,2023-08-18,2023-09-09,Closed,Annual review,,W189,4
CC-2023-16232,Kimberly Eastwood,Northgate,2023-01-12,2023-01-26,Closed,Standard,,W102,3
CC-2023-11876,Lisa Blackwood,Northgate,"October 8, 2023","November 24, 2023",Closed,Complex,,W168,1
CC-2024-12804,William Iverson,Ash Hill,09/13/2024,02/08/2025,Closed,Complex,Medium,W133,6
CC-2024-20889,Mark Rasmussen,Ash Hill,01/09/2024,02/07/2024,Closed,normal,,W130,4
CC-2023-11666,Anthony Marsh,Calder Central,03/24/2023,04/16/2023,Closed,Standard,,W151,1
CC-2023-22452,Linda Fowler,Weybridge,02/15/2023,03/16/2023,Closed,Review,,W260,1
CC-2024-23464,Edward Vance,Northgate,2024-07-05,2024-08-18,Closed,Standard,High,W181,3
CC-2023-13577,Maria Underhill,Weybridge,08/12/2023,11/09/2023,Closed,Complex,,W165,0
CC-2023-18543,Deborah Blackwood,Calder Central,2023-04-06,2023-05-03,Closed,Standard,,W221,6
CC-2024-13845,Kenneth Whitlock,Weybridge,2024-11-29,2025-05-26,Closed,Complex,Low,W234,7
CC-2025-21697,Karen Eastwood,Weybridge,2025-04-15,2025-07-07,Closed,Review,Medium,W226,4
CC-2024-19981,Kimberly Pemberton,Calder Central,2024-11-18,2024-12-18,Closed,Expedited,Medium,W175,1
CC-2024-15656,Jason Crowley,Calder Central,2024-12-10,2024-07-01,Closed,Standard,Low,W122,1
CC-2023-14142,Steven Okonkwo,Calder Central,05/21/2023,06/07/2023,Closed,Expedited,,W227,4
CC-2023-11857,Donna Rasmussen,Calder Central,2023-10-22,2023-11-09,Closed,Standard,,W195,1
CC-2024-15764,Melissa Alvarez,Ash Hill,10/10/2024,10/29/2024,Closed,STANDARD,Low,W229,6
CC-2023-15493,Michael Grady,Calder Central,02/01/2023,03/08/2023,Closed,cmplx,,W210,1
CC-2023-12227,Mark Iverson,Ash Hill,"December 4, 2023","December 18, 2023",Closed,Expedited,,W188,2
CC-2024-16578,Steven Carver,Ash Hill,08/26/2024,09/15/2024,Closed,Standard case,High,W180,2
CC-2023-21954,Linda Yeardley,Calder Central,08/08/2023,08/31/2023,Closed,Standard,,W122,3
CC-2023-15600,Joseph Underhill,Ash Hill,08/28/2023,10/14/2023,Closed,Standard,,W171,4
CC-2025-16863,Jessica Okonkwo,Northgate,2025-10-14,2025-10-23,Closed,Expedited - urgent,Low,W190,5
CC-2023-17731,Elizabeth Rasmussen,Calder Central,2023-08-03,2023-09-11,Closed,Appeal,,W246,0
CC-2024-22829,Lisa Danvers,Northgate,2024-12-23,2025-01-15,Closed,STANDARD,Medium,W154,2
CC-2024-22338,Paul Vance,Calder Central,04/05/2024,05/06/2024,Closed,Standard,Medium,W155,1
CC-2024-13993,Kenneth Iverson,Northgate,2024-04-10,2024-06-13,Closed,COMPLEX,Low,W139,5
CC-2025-14687,Betty Underhill,Calder Central,2025-12-11,,Open,Appeal,Medium,W250,2
CC-2023-23282,Ronald Grady,Calder Central,2023-02-17,2023-05-14,Closed,Complex,,W257,0
CC-2024-14024,Barbara Fowler,Northgate,2024-03-04,2024-04-08,Closed,STANDARD,Medium,W144,3
CC-2025-13711,Jennifer Ellery,Weybridge,"November 22, 2025",,Open,routine,Low,W204,5
CC202320680,ELIZABETH RASMUSSEN,Northgate,2023-10-01,2023-10-25,Closed,Standard,,W126,5
CC-2025-23454,Michelle Alvarez,Calder Central,"March 5, 2025","April 23, 2025",Closed,Complex,Medium,W256,6
CC-2024-19745,Andrew Yeardley,Calder Central,03/27/2024,05/17/2024,Closed,Complex,Medium,W117,6
CC-2025-13051,Donna Rasmussen,Northgate,"November 8, 2025","December 30, 2025",Closed,Complex,Low,W131,3
CC-2025-10554,Timothy Lindquist,Calder Central,05/19/2025,05/29/2025,Closed,Expedited,Medium,W159,5
CC-2024-21953,Jennifer Danvers,Calder Central,2024-05-18,2024-08-12,Closed,appeal,Low,W186,6
CC-2025-23869,Jennifer Fowler,Weybridge,"January 12, 2025","April 22, 2025",Closed,Complex,Medium,W106,5
CC-2025-20771,Linda Alvarez,Northgate,11/10/2025,,Open,COMPLEX,Low,W122,5
CC-2025-11624,Donna Zamora,Calder Central,2025-08-31,2024-07-01,Closed,Review,High,W162,5
CC-2025-17114,Brian Jarrett,Ash Hill,2025-08-01,2025-09-08,Closed,Std.,Low,W114,2
CC-2024-16156,Ronald Blackwood,Ash Hill,"November 3, 2024","December 4, 2024",Closed,Standard,Low,W105,1
CC-2025-16652,Michael Vance,Ash Hill,2025-05-10,2025-06-29,Closed,normal,Medium,W258,5
CC-2025-14943,Robert Marsh,Ash Hill,2025-09-19,2025-02-23,Closed,Standard,High,W237,6
CC-2023-11968,Deborah Hollis,Northgate,07/25/2023,08/19/2023,Closed,Standard,,W192,4
CC-2023-21189,Ashley Lindquist,Weybridge,2023-11-29,2023-12-26,Closed,Standard,,W104,5
CC-2024-12484,Steven Underhill,Northgate,2024-02-18,2024-03-02,Closed,Standard,,W165,1
CC-2023-18438,Amanda Zamora,Ash Hill,"January 3, 2023","July 1, 2024",Closed,Expedited,,W226,4
CC-2023-24093,Mark Grady,Ash Hill,2023-07-08,2023-08-13,Closed,Standard,,W101,2
CC-2025-10815,Charles Delgado,Weybridge,08/27/2025,10/16/2025,Closed,Appeal,Medium,W111,5
CC-2025-13053,Mark Vance,Ash Hill,10/31/2025,11/30/2025,Closed,Standard,Low,W124,3
CC-2023-15548,Deborah Pemberton,Northgate,"April 28, 2023","May 17, 2023",Closed,Expedited,,W222,6
CC-2024-22590,Lisa Alvarez,Northgate,09/19/2024,09/25/2024,Closed,Expedited,Medium,W164,5
CC-2023-16884,Betty Eastwood,Calder Central,08/01/2023,08/15/2023,Closed,Expedited,,W205,3
CC-2025-19729,Anthony Crowley,Calder Central,10/06/2025,10/28/2025,Closed,Expedited,Medium,W161,5
CC-2024-22085,Brian Bennett,Ash Hill,05/23/2024,06/28/2024,Closed,Standard,High,W225,2
CC-2023-21826,Stephanie Crowley,Northgate,2023-11-04,2023-10-10,Closed,Standard,,W247,4
CC-2023-10017,Jason Alvarez,Calder Central,2023-07-27,2023-10-27,Closed,Complex,,W148,4
CC-2024-17929,Patricia Thorne,Northgate,"November 26, 2024","December 21, 2024",Closed,URGENT,Low,W251,6
CC-2025-13883,Daniel Blackwood,Ash Hill,2025-04-16,2025-05-08,Closed,Standard,Low,W195,7
CC-2023-11070,Ronald Nakamura,Ash Hill,2023-08-08,2023-08-17,Closed,Expedited,,W123,0
CC-2025-15542,Stephanie Rasmussen,Northgate,01/25/2025,01/31/2025,Closed,expedited,High,W156,6
CC-2024-18750,Andrew Danvers,Northgate,2024-08-08,2024-09-01,Closed,Standard,Medium,W180,1
CC-2024-23970,William Iverson,Weybridge,2024-01-03,2024-03-12,Closed,Standard case,,W141,5
CC-2023-17518,David Okonkwo,Calder Central,"March 29, 2023","May 7, 2023",Closed,Review,,W126,4
CC-2024-21614,Brian Crowley,Northgate,2024-10-16,2024-11-10,Closed,Standard,Medium,W198,1
CC-2025-16950,Steven Blackwood,Calder Central,08/19/2025,10/03/2025,Closed,standard - no issues,Medium,W186,3
 CC-2025-10955 ,MARK HOLLIS,Northgate,2025-01-01,2025-01-09,Closed,Expedited,Low,W171,7
CC-2023-22049,Thomas Underhill,Calder Central,01/04/2023,07/01/2024,Closed,Expedited,,W148,0
CC-2024-10377,Joshua Blackwood,Weybridge,2024-11-05,2024-12-09,Closed,URGENT,Low,W152,2
CC-2024-15429,Kenneth Delgado,Ash Hill,2024-03-22,2024-04-21,Closed,rev,Low,W259,0
CC 2023 20940,Sarah Jarrett,Calder Central,07/01/2023,08/08/2023,Closed,Standard,,W204,3
CC-2024-21071,Michael Marsh,Calder Central,2024-09-26,2025-02-25,Closed,Complex,Low,W186,4
CC-2025-10184,Brian Thorne,Northgate,07/30/2025,08/16/2025,Closed,Standard,Low,W214,3
CC-2024-20403,Lisa Quill,Ash Hill,2024-09-23,2024-09-29,Closed,Expedited,Low,W127,5
CC-2023-14057,Brian Blackwood,Ash Hill,2023-04-28,2023-05-17,Closed,standard,,W112,5
CC-2025-19473,Stephanie Whitlock,Calder Central,2025-07-25,2024-07-01,Closed,Review,Low,W161,1
CC-2024-11426,Mark Kessler,Weybridge,2024-08-09,2024-07-01,Closed,Standard case,High,W150,2
CC-2024-19177,Richard Blackwood,Northgate,08/15/2024,09/07/2024,Closed,rush,Low,W212,5
CC-2024-16010,Kenneth Rasmussen,Calder Central,2024-05-17,2024-07-02,Closed,Review,High,W162,2
CC-2025-23218,Edward Iverson,Calder Central,01/25/2025,04/08/2025,Closed,Complex,Medium,W127,3
 CC-2025-10206 ,Kevin Delgado,Calder Central,2025-01-26,2025-02-19,Closed,routine,High,W205,4
CC-2025-18826,Richard Blackwood,Weybridge,01/14/2025,08/04/2025,Closed,complex,Medium,W172,2
CC-2025-19637,Mark Danvers,Calder Central,2025-10-27,2025-12-20,Closed,Complex,Medium,W148,1
CC-2025-13157,Melissa Fowler,Northgate,07/27/2025,10/08/2025,Closed,REVIEW,Low,W131,1
CC-2024-18234,Deborah Alvarez,Calder Central,2024-01-15,2024-04-11,Closed,Standard,,W145,4
CC-2025-10551,Lisa Fowler,Weybridge,"November 26, 2025",,Open,Complex,Medium,W231,2
CC-2023-18113,Lisa Sedgwick,Weybridge,"October 6, 2023","November 17, 2023",Closed,Complex,,W134,3
CC-2025-16067,Timothy Fowler,Ash Hill,2025-04-25,2025-06-21,Closed,multi-agency,High,W255,3
CC-2025-16200,Michael Bennett,Calder Central,2025-07-23,2025-08-16,Closed,Standard,Low,W138,0
CC-2024-10885,Jennifer Carver,Calder Central,"October 18, 2024","December 30, 2024",Closed,complex,High,W149,0
CC-2024-17893,Patricia Nakamura,Northgate,2024-12-14,2025-03-08,Closed,Complex,Medium,W188,6
CC-2025-18077,Jeffrey Vance,Northgate,2025-07-25,2025-07-31,Closed,expedite,Medium,W148,1
CC-2025-17569,Patricia Lindquist,Calder Central,11/20/2025,12/10/2025,Closed,Complex,Low,W211,5
CC-2024-17974,Margaret Iverson,Weybridge,2024-01-11,2024-04-15,Closed,Standard,,W249,4
CC-2023-10224,Anthony Quill,Calder Central,2023-09-29,2023-10-16,Closed,Expedited - urgent,,W128,5
CC-2024-20165,Kimberly Lindquist,Northgate,08/25/2024,11/12/2024,Closed,Standard,High,W150,6
CC-2025-15169,Margaret Ashford,Calder Central,2025-03-15,2025-04-13,Closed,Review,Medium,W233,5
CC-2025-15212,Kimberly Rasmussen,Weybridge,2025-02-05,2025-03-10,Closed,Standard,Medium,W136,2
CC-2023-14461,Sarah Bennett,Ash Hill,2023-02-20,2023-03-05,Closed,Review,,W186,5
CC-2024-10606,Michael Danvers,Northgate,08/03/2024,08/21/2024,Closed,Standard case,Low,W101,4
CC-2023-14761,Elizabeth Vance,Weybridge,03/18/2023,02/07/2023,Closed,Expedited,,W111,3
CC-2025-20984,Ashley Hollis,Northgate,08/15/2025,10/26/2025,Closed,Complex,Low,W119,2
 CC-2025-18954 ,ANTHONY JARRETT,Calder Central,2025-05-24,2025-06-14,Closed,STANDARD,Low,W206,3
CC-2023-23588,Melissa Thorne,Northgate,12/01/2023,12/16/2023,Closed,Expedited,,W138,2
CC202520714,EDWARD ZAMORA,Weybridge,04/11/2025,06/09/2025,Closed,Standard,Low,W211,4
CC-2023-14009,Susan Okonkwo,Calder Central,2023-02-05,2023-02-22,Closed,rush,,W124,3
CC-2025-20209,Amanda Ashford,Northgate,04/08/2025,08/20/2025,Closed,Complex,Low,W243,5
cc-2024-11774,Elizabeth Whitlock,Weybridge,"November 23, 2024","July 7, 2025",Closed,Standard,Medium,W232,5
CC-2023-16536,Kenneth Quill,Ash Hill,2023-03-14,2023-03-27,Closed,Expedited,,W151,3
CC-2023-15603,Timothy Danvers,Calder Central,2023-10-11,2023-10-14,Closed,Expedited,,W107,1
CC-2023-14127,Stephanie Ashford,Calder Central,2023-10-16,2024-07-01,Closed,Standard,,W241,2
CC-2023-14518,Carol Yeardley,Weybridge,"July 2, 2023","July 15, 2023",Closed,Standard,,W146,4
CC-2023-15967,Amanda Okonkwo,Weybridge,09/07/2023,10/22/2023,Closed,Review,,W109,6
CC-2023-22743,Nancy Delgado,Ash Hill,"September 24, 2023","October 6, 2023",Closed,Review,,W223,4
CC-2024-21440,Ronald Sedgwick,Northgate,2024-12-27,2025-01-31,Closed,Complex,Low,W231,6
CC-2023-21982,Edward Okonkwo,Calder Central,2023-07-15,2023-08-26,Closed,12 month review,,W239,7
CC-2025-13362,Ashley Fowler,Northgate,2025-02-14,2025-03-20,Closed,complex case,Low,W182,0
CC-2023-21976,Mark Vance,Weybridge,06/10/2023,07/14/2023,Closed,Standard,,W242,7
CC-2025-14532,Anthony Zamora,Calder Central,2025-07-01,2025-08-19,Closed,Complex,Medium,W125,3
CC-2023-21494,William Zamora,Weybridge,"August 26, 2023","October 13, 2023",Closed,Review,,W169,3
CC-2024-12393,Kimberly Pemberton,Ash Hill,2024-05-18,2024-06-06,Closed,Standard,Low,W199,1
CC-2024-11019,Jennifer Hollis,Northgate,2024-12-17,2025-01-08,Closed,Expedited,Medium,W116,6
CC-2023-23811,Lisa Fowler,Northgate,04/28/2023,05/05/2023,Closed,fast track,,W223,4
CC-2023-10672,Lisa Whitlock,Northgate,2023-08-17,2023-09-09,Closed,Expedited,,W205,1
CC-2025-15158,Donna Whitlock,Northgate,11/07/2025,11/30/2025,Closed,Standard,Low,W120,1
CC-2024-18326,Barbara Underhill,Northgate,2024-08-17,2024-09-12,Closed,Review,Medium,W118,5
CC-2023-12402,Maria Pemberton,Northgate,2023-12-29,2024-03-13,Closed,complex,,W228,4
CC-2023-11224,Steven Jarrett,Calder Central,09/16/2023,12/15/2023,Closed,Complex,,W202,7
CC-2025-22237,Michelle Vance,Weybridge,2025-02-17,2025-04-07,Closed,Standard,Medium,W110,5
CC-2025-15293,Joseph Carver,Calder Central,2025-06-30,2024-07-01,Closed,periodic review,Medium,W230,4
CC-2023-18570,Margaret Carver,Calder Central,"February 11, 2023","March 7, 2023",Closed,review,,W254,3
CC-2023-23467,Daniel Delgado,Northgate,2023-10-21,2023-11-28,Closed,Standard,,W101,4
CC-2024-10281,Joseph Fowler,Ash Hill,2024-12-26,2025-02-16,Closed,Complex,Low,W169,2
CC202522284,James Kessler,Northgate,2025-10-04,2025-12-03,Closed,Review,Medium,W229,5
CC-2024-19133,Donna Whitlock,Calder Central,12/31/2024,01/09/2025,Closed,fast track,Medium,W167,6
CC-2023-11664,Jennifer Delgado,Weybridge,2023-03-06,2023-04-13,Closed,Review,,W114,5
CC-2024-21254,Andrew Whitlock,Weybridge,2024-07-26,2024-08-18,Closed,Expedited,Medium,W224,2
CC-2024-17420,Sandra Alvarez,Northgate,11/15/2024,03/26/2025,Closed,Complex,High,W110,1
CC-2025-15553,Edward Hollis,Calder Central,2025-05-29,2025-06-19,Closed,Standard,Low,W191,5
CC-2025-14016,David Ashford,Weybridge,2025-11-21,2025-08-24,Closed,normal,Medium,W211,2
CC-2024-15217,Mark Hollis,Northgate,2024-10-31,2024-11-13,Closed,Expedited,Medium,W100,2
CC-2024-12377,Charles Fowler,Northgate,2024-02-23,2024-04-18,Closed,Review,,W157,3
CC-2023-14034,Mark Eastwood,Northgate,2023-07-29,2023-08-31,Closed,routine,,W147,2
CC-2024-14898,Anthony Hollis,Weybridge,2024-02-22,2024-03-29,Closed,Standard,,W164,3
CC-2023-19524,Mark Hollis,Calder Central,2023-04-16,2023-05-28,Closed,Standard,,W150,0
CC-2024-21895,Brian Delgado,Calder Central,2024-07-06,2024-08-10,Closed,Appeal,Medium,W204,1
CC-2025-19338,Anthony Blackwood,Northgate,01/07/2025,07/01/2024,Closed,app,Low,W217,2
CC-2025-10625,Jessica Whitlock,Calder Central,2025-12-29,,Open,Review,Low,W232,6
CC-2024-15905,Timothy Quill,Ash Hill,2024-04-20,2024-05-07,Closed,standard - no issues,Medium,W107,3
CC-2025-12602,Michelle Grady,Ash Hill,2025-07-30,2025-10-03,Closed,cmplx,Medium,W160,3
CC-2024-23871,Maria Carver,Northgate,2024-01-01,2024-01-24,Closed,Expedited,,W159,6
CC-2024-15234,Daniel Kessler,Calder Central,2024-01-09,2024-04-13,Closed,Review,,W255,5
CC-2025-22250,Susan Eastwood,Ash Hill,2025-04-23,2025-05-02,Closed,Expedited - urgent,Low,W248,8
CC-2024-10409,Melissa Yeardley,Calder Central,"March 19, 2024","April 6, 2024",Closed,Standard,Medium,W198,5
CC-2024-22656,Donna Whitlock,Calder Central,2024-06-09,2024-06-29,Closed,COMPLEX,Medium,W116,4
CC-2025-14223,Jeffrey Blackwood,Calder Central,2025-03-11,2025-04-11,Closed,Review,Low,W107,3
CC-2024-10899,Deborah Delgado,Northgate,2024-05-07,2024-05-16,Closed,Expedited,Medium,W133,4
CC-2023-24023,Jessica Okonkwo,Calder Central,08/14/2023,09/09/2023,Closed,Standard,,W217,9
CC-2024-20804,Ronald Carver,Weybridge,"May 17, 2024","July 1, 2024",Closed,APPEAL,Low,W160,4
CC-2024-18553,Susan Blackwood,Ash Hill,"June 24, 2024","July 5, 2024",Closed,Standard,High,W232,0
CC-2024-16125,Margaret Ellery,Calder Central,"May 7, 2024","June 5, 2024",Closed,standard,High,W105,4
CC-2023-11495,Anthony Nakamura,Ash Hill,2023-09-16,2023-10-09,Closed,COMPLEX,,W236,1
CC-2023-22451,Kenneth Lindquist,Northgate,01/30/2023,03/22/2023,Closed,Annual review,,W107,5
CC-2025-17969,Ashley Alvarez,Weybridge,12/24/2025,,Open,Standard,Medium,W232,3
CC-2023-21917,Richard Quill,Ash Hill,2023-04-04,2023-05-23,Closed,Complex,,W184,2
CC-2024-23595,Michael Zamora,Northgate,"March 5, 2024","May 7, 2024",Closed,Standard,Medium,W242,3
CC-2025-16522,Kenneth Blackwood,Calder Central,05/15/2025,10/02/2025,Closed,Complex - multi agency,Low,W191,4
CC-2025-23489,Stephanie Danvers,Ash Hill,11/26/2025,12/28/2025,Closed,Complex,Low,W221,5
CC-2025-13841,Margaret Vance,Calder Central,2025-09-14,2024-07-01,Closed,normal,Low,W253,4
CC-2025-20853,Thomas Zamora,Calder Central,07/15/2025,08/27/2025,Closed,std,High,W120,2
CC-2023-15569,Kenneth Vance,Calder Central,10/26/2023,11/16/2023,Closed,Standard,,W136,2
CC-2023-14280,Richard Yeardley,Calder Central,08/10/2023,10/18/2023,Closed,Standard,,W142,4
CC-2025-18697,Patricia Lindquist,Calder Central,12/11/2025,12/20/2025,Closed,Expedited,Medium,W105,4
CC-2023-11464,Kevin Lindquist,Calder Central,2023-07-21,2023-09-16,Closed,Complex,,W185,1
CC-2024-22851,Susan Underhill,Weybridge,2024-09-18,2024-07-01,Closed,Standard,High,W165,3
CC-2025-21581,Linda Bennett,Ash Hill,06/07/2025,09/09/2025,Closed,Complex,High,W221,6
CC-2025-12400,Jeffrey Sedgwick,Calder Central,2025-01-09,2025-03-11,Closed,Standard,Low,W129,2
CC-2025-16905,Joseph Kessler,Weybridge,2025-07-17,2025-10-23,Closed,routine,High,W114,7
CC-2025-11847,Paul Whitlock,Ash Hill,05/10/2025,05/30/2025,Closed,standard - no issues,High,W107,5
CC-2024-16505,Brian Eastwood,Calder Central,09/19/2024,10/12/2024,Closed,std,High,W127,5
CC-2024-18409,Stephanie Zamora,Calder Central,2024-06-27,2024-09-03,Closed,Standard,Medium,W198,4
CC-2024-13702,Melissa Nakamura,Calder Central,2024-01-20,2024-04-08,Closed,complex case,,W200,4
CC-2024-22356,Nancy Bennett,Northgate,2024-01-27,2024-03-13,Closed,appeal,,W239,3
CC-2023-14184,Betty Iverson,Northgate,01/06/2023,01/17/2023,Closed,Expedited,,W126,4
CC-2025-15271,Jessica Fowler,Calder Central,05/17/2025,07/02/2025,Closed,Complex,Low,W106,5
CC-2025-23466,Anthony Yeardley,Northgate,05/04/2025,05/24/2025,Closed,Standard,Low,W254,8
CC-2025-21865,Robert Crowley,Northgate,04/13/2025,04/21/2025,Closed,std,Low,W131,3
CC-2023-14374,Margaret Kessler,Northgate,2023-06-01,2023-06-15,Closed,Standard,,W150,5
CC-2024-14239,Richard Ashford,Calder Central,2024-05-10,2024-05-29,Closed,Standard case,Low,W257,4
CC-2023-15888,Deborah Fowler,Weybridge,08/07/2023,09/05/2023,Closed,Standard,,W226,0
CC-2025-10502,Michael Danvers,Northgate,2025-10-15,2025-11-08,Closed,Standard,Low,W163,4
CC-2023-15750,Joseph Vance,Northgate,"March 11, 2023","May 12, 2023",Closed,Appeal,,W107,2
CC-2025-15432,Robert Okonkwo,Weybridge,2025-10-09,,Open,Standard,Low,W142,2
CC-2024-23101,Jennifer Carver,Calder Central,11/22/2024,12/25/2024,Closed,Standard,Low,W185,4
CC-2023-20226,Brian Thorne,Northgate,"August 23, 2023","September 27, 2023",Closed,Review,,W236,3
CC-2023-10111,Thomas Eastwood,Calder Central,2023-06-03,2023-06-21,Closed,Standard,,W254,1
CC-2025-18656,Stephanie Nakamura,Weybridge,2025-04-20,2025-07-02,Closed,Appeal,Low,W254,4
CC-2023-15331,Karen Ellery,Weybridge,2023-07-02,2023-07-30,Closed,Standard case,,W206,6
CC-2023-13408,Daniel Ashford,Calder Central,2023-09-22,2023-10-22,Closed,Standard,,W256,1
CC-2023-23392,Kimberly Crowley,Calder Central,11/10/2023,11/19/2023,Closed,expedite,,W185,2
CC-2025-18099,Linda Yeardley,Calder Central,2025-09-09,2025-10-13,Closed,standard - no issues,Low,W209,3
CC-2023-10395,Timothy Pemberton,Northgate,11/08/2023,11/19/2023,Closed,Expedited,,W101,7
CC-2023-22663,Robert Rasmussen,Calder Central,2023-04-22,2023-06-24,Closed,Complex,,W175,1
CC-2025-12291,Emily Fowler,Calder Central,2025-11-30,,Open,Standard,High,W130,1
CC-2024-15708,Kenneth Iverson,Ash Hill,2024-02-08,2024-02-27,Closed,12 month review,,W210,1
CC-2023-10943,Richard Zamora,Calder Central,2023-01-24,2023-05-06,Closed,Complex,,W176,9
CC-2023-21286,Steven Alvarez,Northgate,2023-03-11,2023-04-16,Closed,normal,,W248,5
